epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9581.75,0.37974,1.34773,0.87788,0.38992,0.93659,0.45281,0.39088,0.30931,1.26997,0.8484,0.000349331,0.000349331,0.000349331
43,9745.73,0.38666,1.35841,0.88098,0.38597,0.92874,0.45189,0.3863,0.30423,1.28275,0.84399,0.00034351,0.00034351,0.00034351
44,9910.23,0.37638,1.36027,0.87128,0.39258,0.89875,0.45266,0.39077,0.32259,1.2612,0.84736,0.000337688,0.000337688,0.000337688
45,12558.8,0.39845,1.36089,0.88604,0.3768,0.90719,0.44953,0.38809,0.32432,1.27157,0.85367,0.000331867,0.000331867,0.000331867
46,12722.5,0.37138,1.34866,0.88043,0.39511,0.90077,0.46363,0.3983,0.32804,1.25852,0.85096,0.000326046,0.000326046,0.000326046
47,14393.4,0.3821,1.33066,0.87685,0.39578,0.87467,0.44556,0.38752,0.32641,1.24262,0.84771,0.000320225,0.000320225,0.000320225
48,14561.5,0.39385,1.33566,0.88004,0.40818,0.94274,0.44879,0.38615,0.31496,1.25405,0.84606,0.000314404,0.000314404,0.000314404
49,14751.2,0.37832,1.35254,0.87845,0.39936,0.94723,0.46493,0.39676,0.32529,1.25146,0.85686,0.000308582,0.000308582,0.000308582
50,14996.1,0.38836,1.32721,0.87954,0.39079,0.91814,0.45288,0.389,0.32123,1.24831,0.84344,0.000302761,0.000302761,0.000302761
51,15184.4,0.38358,1.33547,0.8826,0.40096,0.91367,0.46403,0.39762,0.3187,1.25108,0.85329,0.00029694,0.00029694,0.00029694
52,38998.7,0.38578,1.33541,0.87423,0.4119,0.93649,0.46391,0.39552,0.30515,1.24339,0.84353,0.000291119,0.000291119,0.000291119
53,39189.4,0.37259,1.3225,0.87804,0.39242,0.95286,0.46857,0.39845,0.31832,1.23639,0.84276,0.000285298,0.000285298,0.000285298
54,39366.3,0.37103,1.3448,0.87898,0.40582,0.89464,0.46613,0.39944,0.32973,1.22819,0.84804,0.000279476,0.000279476,0.000279476
55,39535.8,0.36579,1.31509,0.87252,0.39996,0.95194,0.45876,0.39238,0.30595,1.2239,0.84232,0.000273655,0.000273655,0.000273655
56,39703.4,0.37683,1.3202,0.87717,0.39857,0.91847,0.46007,0.38979,0.33618,1.2198,0.85207,0.000267834,0.000267834,0.000267834
57,39871.3,0.3715,1.32906,0.87038,0.41056,0.93798,0.46483,0.39664,0.31203,1.21826,0.84692,0.000262013,0.000262013,0.000262013
58,40047.8,0.37819,1.28738,0.87381,0.42572,0.91364,0.45939,0.39817,0.31277,1.21648,0.84535,0.000256192,0.000256192,0.000256192
59,40341.9,0.35896,1.30186,0.87261,0.41606,0.9252,0.46754,0.39485,0.33126,1.22956,0.85011,0.00025037,0.00025037,0.00025037
60,40645.9,0.37026,1.30282,0.87844,0.4008,0.93754,0.46444,0.40174,0.32628,1.22569,0.84261,0.000244549,0.000244549,0.000244549
