epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9487.57,0.31621,0.41397,0.86233,0.8862,0.7146,0.80732,0.69215,0.23034,0.37225,0.80228,0.000424187,0.000424187,0.000424187
43,9676.52,0.32404,0.41084,0.86685,0.82985,0.7777,0.85919,0.73024,0.23103,0.34543,0.80306,0.000417119,0.000417119,0.000417119
44,9880.86,0.32521,0.42237,0.86531,0.86109,0.73952,0.82885,0.70849,0.22446,0.37541,0.80735,0.00041005,0.00041005,0.00041005
45,10088.3,0.31385,0.4083,0.8656,0.82784,0.74706,0.83556,0.71363,0.23737,0.35499,0.80934,0.000402982,0.000402982,0.000402982
46,10286.5,0.30448,0.39716,0.86395,0.88759,0.73721,0.84578,0.72521,0.22938,0.34482,0.80684,0.000395913,0.000395913,0.000395913
47,10530.1,0.30937,0.39453,0.86064,0.86946,0.75803,0.84173,0.7271,0.22193,0.33446,0.80402,0.000388844,0.000388844,0.000388844
48,10730.8,0.30946,0.39532,0.85712,0.83139,0.7867,0.84574,0.73466,0.21529,0.33633,0.80733,0.000381776,0.000381776,0.000381776
49,10917.1,0.30933,0.40079,0.8678,0.77386,0.79344,0.83663,0.73289,0.20501,0.32045,0.80043,0.000374707,0.000374707,0.000374707
50,11101.3,0.31647,0.38715,0.86217,0.79888,0.79467,0.80421,0.69983,0.21545,0.35432,0.80702,0.000367639,0.000367639,0.000367639
51,11321,0.31414,0.40462,0.86709,0.84737,0.72878,0.80242,0.69718,0.21493,0.3751,0.80659,0.00036057,0.00036057,0.00036057
52,11548.6,0.30606,0.38782,0.85841,0.89935,0.78169,0.86826,0.75237,0.2167,0.32016,0.80356,0.000353501,0.000353501,0.000353501
53,11777,0.30437,0.38848,0.862,0.86514,0.78151,0.85611,0.7584,0.21128,0.32894,0.80197,0.000346433,0.000346433,0.000346433
54,12001.3,0.28884,0.38396,0.85643,0.88205,0.78295,0.85633,0.75162,0.21417,0.34534,0.80255,0.000339364,0.000339364,0.000339364
55,12214.5,0.28911,0.37991,0.85805,0.77998,0.83162,0.85717,0.76054,0.19497,0.3181,0.79498,0.000332296,0.000332296,0.000332296
56,12407.6,0.29298,0.37013,0.85316,0.86175,0.77732,0.82135,0.71769,0.20034,0.33471,0.79579,0.000325227,0.000325227,0.000325227
57,12595.1,0.29196,0.37284,0.84964,0.8157,0.81986,0.84447,0.74065,0.20488,0.31819,0.79887,0.000318158,0.000318158,0.000318158
58,12782,0.28901,0.36095,0.85213,0.8316,0.78695,0.86296,0.74577,0.21098,0.31564,0.79688,0.00031109,0.00031109,0.00031109
59,12966.2,0.28128,0.35601,0.85304,0.85794,0.77098,0.85123,0.74514,0.19635,0.31067,0.79578,0.000304021,0.000304021,0.000304021
60,13151,0.29845,0.37312,0.85819,0.82114,0.79577,0.85396,0.75213,0.20577,0.31295,0.79336,0.000296953,0.000296953,0.000296953
61,13334.9,0.29081,0.37134,0.85515,0.85469,0.72349,0.80112,0.712,0.19298,0.33542,0.79517,0.000289884,0.000289884,0.000289884
62,13511.5,0.28619,0.36839,0.85584,0.85362,0.80116,0.8735,0.76208,0.20919,0.31235,0.79473,0.000282815,0.000282815,0.000282815
63,13715.3,0.28746,0.3628,0.85599,0.86397,0.77332,0.84919,0.75476,0.195,0.32008,0.79507,0.000275747,0.000275747,0.000275747
64,13941.5,0.29363,0.36271,0.85132,0.89305,0.81183,0.88183,0.77817,0.1954,0.30847,0.79049,0.000268678,0.000268678,0.000268678
65,14326.3,0.28412,0.35509,0.8514,0.89201,0.7746,0.86226,0.77036,0.18465,0.30696,0.78924,0.00026161,0.00026161,0.00026161
66,14551.9,0.28644,0.3581,0.85409,0.86119,0.79355,0.84381,0.75761,0.19623,0.3117,0.79327,0.000254541,0.000254541,0.000254541
67,14776.2,0.27685,0.35236,0.84945,0.85743,0.83233,0.86359,0.76519,0.18918,0.30667,0.79291,0.000247472,0.000247472,0.000247472
68,15000,0.29075,0.35756,0.85072,0.8788,0.79084,0.85973,0.75788,0.20351,0.3163,0.79614,0.000240404,0.000240404,0.000240404
69,15204.6,0.27915,0.34911,0.85625,0.86205,0.79664,0.87026,0.77059,0.17805,0.30785,0.79208,0.000233335,0.000233335,0.000233335
70,15381.9,0.2782,0.34377,0.85039,0.82652,0.79811,0.84547,0.76063,0.18955,0.30626,0.79311,0.000226267,0.000226267,0.000226267
71,15667.1,0.28381,0.34572,0.85332,0.85019,0.80501,0.84526,0.74807,0.19306,0.31248,0.79373,0.000219198,0.000219198,0.000219198
72,15903.1,0.27758,0.34594,0.85064,0.86034,0.79752,0.87358,0.78244,0.1783,0.28799,0.79118,0.000212129,0.000212129,0.000212129
73,16205.9,0.26705,0.33623,0.84712,0.80673,0.79407,0.82613,0.73388,0.17423,0.30356,0.78855,0.000205061,0.000205061,0.000205061
